cancer	gene	CGC	NCG6.0	mutation	CNV	methylation	miRNA
COAD	AKT1	1	1	10	0	0	
COAD	ANK2	0	1	7	0	0	
COAD	APC	1	1	11	0	0	hsa-miR-192-5p
COAD	ARID1A	1	1	9	0	0	
COAD	ATM	1	1	7	0	0	
COAD	BRAF	1	1	10	0	0	
COAD	CACNA1B	0	0	7	0	0	
COAD	CDH1	1	1	10	0	0	
COAD	CDKN1A	1	1	8	0	0	
COAD	CREBBP	1	1	8	0	0	
COAD	CTCF	1	1	7	0	0	
COAD	CTNNB1	1	1	8	0	0	
COAD	EGFR	1	1	13	0	0	
COAD	EP300	1	1	10	0	0	hsa-miR-130b-5p
COAD	ERBB2	1	1	8	0	0	
COAD	ERBB3	1	1	7	0	0	
COAD	FBXW7	1	1	9	0	0	
COAD	FGFR3	1	1	10	0	0	
COAD	FLG	0	1	7	0	0	
COAD	FOXA1	1	1	7	0	0	
COAD	GATA3	1	1	8	0	0	hsa-miR-92a-3p
COAD	HRAS	1	1	8	0	0	
COAD	IDH1	1	1	7	0	0	
COAD	KRAS	1	1	11	0	0	
COAD	MAP2K4	1	1	7	0	0	hsa-miR-92a-3p
COAD	MAP3K1	1	1	7	0	0	
COAD	NRAS	1	1	9	0	0	
COAD	OPRD1	0	0	8	0	0	
COAD	PDGFRA	1	1	7	0	0	hsa-miR-130b-3p
COAD	PIK3CA	1	1	13	0	0	
COAD	PIK3R1	1	1	10	0	0	
COAD	PTEN	1	1	11	0	0	
COAD	RB1	1	1	8	0	0	
COAD	SMAD4	1	1	8	0	0	hsa-miR-224-5p,hsa-miR-452-5p,hsa-miR-92a-3p
COAD	SPTAN1	0	1	7	0	0	
COAD	TP53	1	1	14	0	0	
COAD	GGT7	0	0	0	1	0	
COAD	NEK3	0	0	0	1	0	
COAD	ABHD12	0	0	0	1	0	
COAD	ENTPD6	0	1	0	1	0	
COAD	C8orf33	0	0	0	1	0	
COAD	RUBCNL	0	0	0	1	0	
COAD	TRIB3	0	0	0	1	0	
COAD	LZTS3	0	0	0	1	0	
COAD	ARL11	0	0	0	1	0	
COAD	PLCB4	0	1	0	1	0	
COAD	SERP2	0	0	0	1	0	
COAD	RAB11FIP1	0	0	0	-1	0	
COAD	FUT10	0	0	0	-1	0	
COAD	PHACTR3	0	0	0	1	0	
COAD	MAPK15	0	0	0	1	0	
COAD	ERI1	0	0	0	-1	0	
COAD	TMEM74B	0	0	0	1	0	
COAD	PBK	0	0	0	-1	0	
COAD	HLA-DRB5	0	0	0	1	0	
COAD	PTP4A3	0	0	0	1	0	
COAD	NINL	0	0	0	1	0	
COAD	SPERT	0	0	0	1	0	
COAD	CDCA2	0	0	0	-1	0	
COAD	FZD3	0	1	0	-1	0	
COAD	FBXO16	0	0	0	-1	0	
COAD	ESCO2	0	0	0	-1	0	
COAD	PCM1	1	1	0	-1	0	
COAD	BNIP3L	0	0	0	-1	0	
COAD	ARL17B	0	0	0	-1	0	
COAD	DOCK5	0	0	0	-1	0	
COAD	LRRC37A	0	0	0	-1	0	
COAD	DUSP4	0	0	0	-1	0	
COAD	PSD3	0	0	0	-1	0	
COAD	GSTT2B	0	0	0	-1	0	
COAD	RHD	0	0	0	-1	0	
COAD	HMBOX1	0	0	0	-1	0	
COAD	RNF125	0	0	0	-1	0	
COAD	TYMSOS	0	0	0	-1	0	
COAD	SMCHD1	0	0	0	-1	0	
COAD	KCTD1	0	0	0	-1	0	hsa-miR-196a-5p
COAD	GSTZ1	0	0	0	-1	0	
COAD	ESR2	0	0	0	-1	0	
COAD	GPR135	0	0	0	-1	0	
COAD	MTMR7	0	0	0	-1	0	
COAD	ZBTB7C	0	0	0	-1	0	
COAD	PIAS2	0	0	0	-1	0	
COAD	TNFRSF10C	0	0	0	-1	0	
COAD	MTCL1	0	0	0	-1	0	
COAD	PNMA1	0	0	0	-1	0	
COAD	MIPOL1	0	0	0	-1	1	
COAD	SAMD15	0	0	0	-1	0	
COAD	LAMA3	0	1	0	-1	0	
COAD	DEGS2	0	0	0	-1	0	
COAD	SSTR1	0	0	0	-1	0	
COAD	DAAM1	0	0	0	-1	0	
COAD	EGR3	0	1	0	-1	0	
COAD	GNRH1	0	0	0	-1	0	
COAD	ADSSL1	0	0	0	-1	0	
COAD	CRIP1	0	0	0	-1	0	
COAD	CHRNA7	0	0	0	-1	0	
COAD	ZSWIM3	0	1	0	1	0	
COAD	PIGU	0	0	0	1	0	
COAD	NELFCD	0	0	0	1	0	
COAD	DDX27	0	0	0	1	0	
COAD	TP53RK	0	0	0	1	0	
COAD	POFUT1	0	0	0	1	0	
COAD	MOCS3	0	0	0	1	0	hsa-miR-330-5p
COAD	PXMP4	0	1	0	1	0	
COAD	HNF4A	0	1	0	1	0	
COAD	PLAGL2	0	0	0	1	0	
COAD	COMMD7	0	0	0	1	0	
COAD	ATP9A	0	0	0	1	0	
COAD	OSER1	0	0	0	1	0	
COAD	FITM2	0	0	0	1	0	
COAD	CPNE1	0	1	0	1	0	
COAD	SPATA25	0	0	0	1	0	
COAD	ACOT8	0	0	0	1	0	
COAD	PDRG1	0	0	0	1	0	
