Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
S001_BJ20190416162PTS_sort_dedup_realigned_recal	S001_BJ20190416162PTS_sort_dedup_realigned_recal.bam	275589300.0	275481142.0	21349738095.0	21347700824.0	12481.3882	175.0	57.2527	0.0034	353.1394	99.96075391896565
S001_SZ20200107041PES_sort_dedup_realigned_recal	S001_SZ20200107041PES_sort_dedup_realigned_recal.bam	76655586.0	76618564.0	4709892096.0	4709443996.0	91627.2809	139.0	57.1688	0.0036	77.9049	99.95170345446188
S002_BJ20190416068PTS_sort_dedup_realigned_recal	S002_BJ20190416068PTS_sort_dedup_realigned_recal.bam	187605848.0	187557656.0	13335592773.0	13334329865.0	6149.1725	130.0	57.1465	0.0031	220.5799	99.97431210140103
S002_BJ20190416127PES_sort_dedup_realigned_recal	S002_BJ20190416127PES_sort_dedup_realigned_recal.bam	295979634.0	295826869.0	21239495945.0	21237285475.0	10628.1297	148.0	57.1633	0.0049	351.316	99.94838665149508
S002_BJ20190416163PES_sort_dedup_realigned_recal	S002_BJ20190416163PES_sort_dedup_realigned_recal.bam	220307174.0	220234038.0	16930152243.0	16928559099.0	45831.1342	166.0	57.2037	0.0032	280.0364	99.96680271519438
S002_SZ20191229040PES_sort_dedup_realigned_recal	S002_SZ20191229040PES_sort_dedup_realigned_recal.bam	206732142.0	206329382.0	12543390607.0	12541889591.0	40055.0715	125.0	57.0681	0.0035	207.4764	99.80517785183109
S002_SZ20191229055PTS_sort_dedup_realigned_recal	S002_SZ20191229055PTS_sort_dedup_realigned_recal.bam	86064706.0	86030736.0	6108473855.0	6107674438.0	9791.9061	156.0	57.265	0.0039	101.0384	99.9605296972722
S003_BJ20190416128PTS_sort_dedup_realigned_recal	S003_BJ20190416128PTS_sort_dedup_realigned_recal.bam	340553138.0	340379330.0	24364919914.0	24362410023.0	11195.3333	155.0	57.1787	0.0053	403.0126	99.94896303084425
S003_BJ20190416164PTS_sort_dedup_realigned_recal	S003_BJ20190416164PTS_sort_dedup_realigned_recal.bam	228269216.0	228192863.0	17793578232.0	17791863646.0	8444.0637	167.0	57.2635	0.0033	294.3181	99.96655133734721
S003_SZ20191229041PES_sort_dedup_realigned_recal	S003_SZ20191229041PES_sort_dedup_realigned_recal.bam	160254528.0	160158103.0	10133205004.0	10131912257.0	110655.4291	137.0	57.0491	0.0038	167.6102	99.9398300932876
S003_SZ20200107045PES_sort_dedup_realigned_recal	S003_SZ20200107045PES_sort_dedup_realigned_recal.bam	78087742.0	78064422.0	5554904520.0	5554280985.0	32387.6842	190.0	57.3335	0.0037	91.882	99.97013615786202
S004_BJ20190416165PES_sort_dedup_realigned_recal	S004_BJ20190416165PES_sort_dedup_realigned_recal.bam	277040558.0	276913027.0	21699068941.0	21696857097.0	7521.853	165.0	57.2428	0.0038	358.9176	99.95396666794181
