Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
S001_BJ20190416162PTS-0_atdna_wesplus_25003_S1_L002_R1_001	34.508	0.945696	36725481116.0	275589300.0	0.481394	99.10730840416359	28.5825153348442
S001_SZ20200107041PES-6_ffpedna_wesplus_38636_S33_L001_R1_001	24.7286	0.956818	9304111569.0	76655586.0	0.49248	99.14966185250482	53.72631472313172
S002_BJ20190416068PTS-b_atdna_wesplus_26004_S2_L001_R1_001	47.8699	0.964299	22184265924.0	187605848.0	0.489421	99.30602497127784	67.15792432824585
S002_BJ20190416127PES-e_ffpedna_wesplus_25120_S2_L001_R1_001	41.3744	0.940626	36796098852.0	295979634.0	0.494146	99.12655724052007	48.92881863764843
S002_BJ20190416163PES-7_ffpedna_wesplus_25004_S2_L002_R1_001	31.8637	0.951183	29056107259.0	220307174.0	0.51278	99.10857105119864	33.94866640106615
S002_SZ20191229040PES-c_ffpedna_wesplus_38742_S81_L002_R1_001	36.4929	0.961452	23987597914.0	206732142.0	0.501617	98.90711095193173	68.32667341127106
S002_SZ20191229055PTS-b_ffpedna_wesplus_38637_S34_L001_R1_001	22.1416	0.956155	11237099614.0	86064706.0	0.514257	99.12853436789331	42.98208813309504
S003_BJ20190416128PTS-1_atdna_wesplus_25121_S3_L001_R1_001	43.3554	0.937082	43347984696.0	340553138.0	0.478061	98.98459914978376	42.18461284560326
S003_BJ20190416164PTS-4_atdna_wesplus_25005_S3_L002_R1_001	31.9049	0.949685	30451357698.0	228269216.0	0.487768	99.14597870225698	32.58071054175856
S003_SZ20191229041PES-c_ffpedna_wesplus_38743_S82_L002_R1_001	35.2215	0.958744	20044314666.0	160254528.0	0.504067	98.70404055515867	53.69805842781502
S003_SZ20200107045PES-9_ffpedna_wesplus_38638_S35_L001_R1_001	22.8573	0.955838	10836006246.0	78087742.0	0.482186	99.23829956274155	18.371158210909837
S004_BJ20190416165PES-a_ffpedna_wesplus_25006_S4_L002_R1_001	33.3521	0.941444	36219121076.0	277040558.0	0.50272	98.90098536226954	35.219092586857734
S004_SZ20191229042PES-a_ffpedna_wesplus_38744_S83_L002_R1_001	35.9972	0.960022	25593742873.0	204354870.0	0.525652	98.60706829889234	52.99267515802474
S004_SZ20200107046PES-8_ffpedna_wesplus_38639_S36_L001_R1_001	23.5251	0.957076	9874382220.0	74026550.0	0.495821	99.1833465825129	36.51776779023246
S005_BJ20190416166PTS-5_atdna_wesplus_25007_S5_L002_R1_001	32.1003	0.948725	29262488085.0	220783296.0	0.474557	99.17262214571457	33.26623222896982
S005_SZ20191229043PES-6_ffpedna_wesplus_38745_S84_L002_R1_001	36.079899999999995	0.957818	24082595571.0	186672842.0	0.509692	98.60277447830356	44.70534931900468
S005_SZ20191229068PTS-b_ffpedna_wesplus_38640_S37_L001_R1_001	27.0407	0.95488	13097137103.0	95528346.0	0.498627	99.19462702839029	24.087657378795836
S006_BJ20190416131PES-5_ffpedna_wesplus_25124_S6_L001_R1_001	42.0894	0.936236	46651555834.0	366974414.0	0.502279	99.04657970447201	42.17774922854204
S006_BJ20190416150PTS-f_atdna_wesplus_26008_S6_L001_R1_001	47.9662	0.966255	24934696659.0	204955520.0	0.514676	99.3613335063339	63.54969646136189
S006_BJ20190416167PES-0_ffpedna_wesplus_25008_S6_L002_R1_001	31.052999999999997	0.947992	33223272306.0	250427122.0	0.508067	99.02479758423377	32.11528414128606
S006_SZ20191229045PES-4_ffpedna_wesplus_38746_S85_L002_R1_001	35.4215	0.96007	20917838737.0	174728834.0	0.526234	98.38295030393063	63.01099354740251
S006_SZ20191229069PTS-4_ffpedna_wesplus_38641_S38_L001_R1_001	24.9921	0.950197	10946346256.0	78925730.0	0.481893	99.24774114607679	15.001627937121237
S007_BJ20190416101PES-3_ffpedna_wesplus_25009_S7_L002_R1_001	32.562200000000004	0.949531	28372642906.0	231460622.0	0.513767	98.81633158645006	59.31651882295781
S007_BJ20190416132PTS-1_atdna_wesplus_25125_S7_L001_R1_001	39.4227	0.936403	36609873110.0	294840014.0	0.484842	99.04338884940532	49.34585479452482
S007_SZ20191229051PES-3_ffpedna_wesplus_38747_S86_L002_R1_001	34.6199	0.95861	26932219095.0	213426112.0	0.50246	98.85272246181528	49.00105102696061
S008_BJ20190416102PTS-d_atdna_wesplus_25010_S8_L002_R1_001	34.285399999999996	0.950516	24176059022.0	190953078.0	0.465139	99.18801465322295	50.76619649240889
S008_BJ20190416134PTS-a_atdna_wesplus_25126_S8_L001_R1_001	45.632099999999994	0.938751	46535751757.0	364082972.0	0.485703	99.09906381763213	43.05298260651427
S008_SZ20191229052PES-9_ffpedna_wesplus_38748_S87_L002_R1_001	31.727	0.958952	24650151132.0	196515420.0	0.504035	98.92120817645024	52.839633386599274
S009102_BJ20190416149PES-8_ffpedna_wesplus_25220_S40_L004_R1_001	51.8924	0.960287	47036105123.0	426322750.0	0.537366	98.76417146793308	75.79220936319912
