Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned	type	reset_name
S002_BJ20190416127PES	S002_BJ20190416127PES_sort_dedup_realigned_recal.bam	295979634	295826869	21239495945	21237285475	10628.1297	148	57.1633	0.0049	351.316	99.9483866514951	tumor	P28
S002_BJ20190416163PES	S002_BJ20190416163PES_sort_dedup_realigned_recal.bam	220307174	220234038	16930152243	16928559099	45831.1342	166	57.2037	0.0032	280.0364	99.9668027151944	tumor	P36
S002_SZ20191229040PES	S002_SZ20191229040PES_sort_dedup_realigned_recal.bam	206732142	206329382	12543390607	12541889591	40055.0715	125	57.0681	0.0035	207.4764	99.8051778518311	tumor	P33
S002_SZ20191229055PTS	S002_SZ20191229055PTS_sort_dedup_realigned_recal.bam	86064706	86030736	6108473855	6107674438	9791.9061	156	57.265	0.0039	101.0384	99.9605296972722	normal	P3
S003_BJ20190416164PTS	S003_BJ20190416164PTS_sort_dedup_realigned_recal.bam	228269216	228192863	17793578232	17791863646	8444.0637	167	57.2635	0.0033	294.3181	99.9665513373472	normal	P36
S003_SZ20191229041PES	S003_SZ20191229041PES_sort_dedup_realigned_recal.bam	160254528	160158103	10133205004	10131912257	110655.4291	137	57.0491	0.0038	167.6102	99.9398300932876	tumor	P33
S004_BJ20190416165PES	S004_BJ20190416165PES_sort_dedup_realigned_recal.bam	277040558	276913027	21699068941	21696857097	7521.853	165	57.2428	0.0038	358.9176	99.9539666679418	tumor	P38
S004_SZ20191229042PES	S004_SZ20191229042PES_sort_dedup_realigned_recal.bam	204354870	204246055	13566786629	13565235274	80853.0224	140	57.145	0.0038	224.404	99.9467519418549	tumor	P11
S005_SZ20191229043PES	S005_SZ20191229043PES_sort_dedup_realigned_recal.bam	186672842	186562705	12253432941	12251995749	126961.6466	148	57.144	0.0036	202.6803	99.9409999875611	tumor	P11
S005_SZ20191229068PTS	S005_SZ20191229068PTS_sort_dedup_realigned_recal.bam	95528346	95499434	6793456092	6792704748	61514.6497	180	57.2793	0.0036	112.3685	99.9697346377169	normal	P29
S006_BJ20190416131PES	S006_BJ20190416131PES_sort_dedup_realigned_recal.bam	366974414	366780935	27154401483	27151061866	16152.1218	155	57.1581	0.0054	449.1526	99.9472772507786	tumor	P13
S006_BJ20190416167PES	S006_BJ20190416167PES_sort_dedup_realigned_recal.bam	250427122	250327119	19657485421	19655623252	19201.9189	169	57.2349	0.0036	325.1484	99.9600670250086	tumor	P18
