reset_name	Sample	type	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned	fastp_mqc.generalstats.fastp.pct_duplication	fastp_mqc.generalstats.fastp.after_filtering_q30_rate	fastp_mqc.generalstats.fastp.after_filtering_q30_bases	fastp_mqc.generalstats.fastp.filtering_result_passed_filter_reads	fastp_mqc.generalstats.fastp.after_filtering_gc_content	fastp_mqc.generalstats.fastp.pct_surviving	fastp_mqc.generalstats.fastp.pct_adapter	Genome_fraction_30x
P1	S037_BJ20190424034DNA	normal	97849964	97831773	7988395046	7987735272	9232.5832	179	57.4147	0.0031	132.1336	99.9814092931092	25.382	0.953838	13440302035	97849964	0.497628	99.1724906497587	24.0046813081465	85.81
P1	S038_BJ20190416117PES	tumor	215331880	215269441	16194006091	16192503964	15780.7437	158	57.2954	0.0036	267.8601	99.9710033646667	35.3207	0.950508	27890642672	215331880	0.47409	99.2134821158582	40.8687298633476	90.74
P1	S061_BJ20190416033PES	tumor	285173284	285059872	20684763932	20682697211	41458.6033	149	57.2068	0.0038	342.1403	99.960230496206	40.5377	0.950243	35898707963	285173284	0.49763	99.0679879127677	47.540993550049	91.79
P2	S035_BJ20190416113PES	tumor	223532556	223467590	16804317552	16802242432	31931.7167	155	57.2562	0.0033	277.955	99.9709366719718	36.2195	0.954671	28933136963	223532556	0.485284	99.1680449387015	42.4839768666795	90.98
P2	S036_BJ20190416114PTS	normal	211915866	211853487	15720283715	15718838196	13849.084	150	57.2681	0.0034	260.0244	99.9705642615735	34.0258	0.95595	27013320835	211915866	0.48047	99.2319599899721	47.6994757470289	90.6
P2	S060_BJ20190416030PTS	normal	293591798	293480587	21595291840	21593291186	30441.7094	151	57.2166	0.0038	357.2011	99.962120535806	38.1037	0.948279	37098403913	293591798	0.486567	99.2098914376248	45.7792354830332	92.03
P2	S072_BJ20190416029PES	tumor	235895002	235815986	16231564192	16229316775	65594.6047	137	57.1276	0.005	268.4813	99.9665037413552	42.3189	0.936902	28401780904	235895002	0.495349	99.2276125564465	57.0636985952639	90.05
P3	S002_SZ20191229055PTS	normal	86064706	86030736	6108473855	6107674438	9791.9061	156	57.265	0.0039	101.0384	99.9605296972722	22.1416	0.956155	11237099614	86064706	0.514257	99.1285343678933	42.982088133095	80.32
P3	S011_SZ20200107044PES	tumor	205295200	205216958	13319232720	13316828483	16338.8373	179	57.2831	0.0037	220.3093	99.9618880519369	32.6659	0.959044	28074789917	205295200	0.492776	98.9739855476475	26.0325496361322	91.27
P3	S026_SZ20200107043PES	tumor	124166996	123905180	8904002694	8902918428	5997.3441	134	57.2066	0.0033	147.2784	99.789142035779	44.0527	0.953719	15075851041	124166996	0.502315	97.5416260338135	63.05872644429	85.88
